Name,pmid,shorthand
Drosophila,11138943,D.
Mus,11139514,M.
Hela,11181153,H.
Sebastes,11251794,S.
Drosophila,11263748,D.
Bacillus,11286500,B.
Drosophila,11294608,D.
Allonemobius,11298974,A.
Saguinus,11329167,S.
Oncorhynchus,11348501,O.
Heliconius,11357131,H.
Drosophila,11411052,D.
Parnassius,11421120,P.
Fasciola,11426578,F.
Nasonia,11430644,N.
Danio,11466528,D.
Leuciscus,11467433,L.
Mytilus,11488971,M.
Cottus,11535642,C.
Nasonia,11545534,N.
Xiphophorus,11555667,X.
Chorthippus,11681738,C.
Gryllus,11681738,G.
Bombina,11681738,B.
Daphnia,11703505,D.
Gila,11761063,G.
Hexagrammos,11785293,H.
Mytilus,11785301,M.
Rana,11794790,R.
Leuciscus,11841181,L.
Schistosoma,11862993,S.
Bulinus,11862993,B.
Eisenia,11869351,E.
Carabus,11903896,C.
Ohomopterus,11903896,O.
Drosophila,11922103,D.
Ctenophorus,11926505,C.
Macaca,11953944,M.
Geospiza,11976447,G.
Ochthebius,11986868,O.
Calobius,11986868,C.
Triturus,11987463,T.
Schistosoma,12003064,S.
Acropora,12065836,A.
Heterodera,12099348,H.
Eulemur,12111681,E.
Acropora,12144658,A.
Mata,12183574,M.
Bombina,12187852,B.
Penella,12187852,P.
Heliconius,12196397,H.
Drosophila,12196397,D.
Drosophila,12206367,D.
Mus,12356091,M.
Spea,12389729,S.
Rana,12414311,R.
Drosophila,12424521,D.
Sorex,12438784,S.
Ellobius,12438791,E.
Anopheles,12442891,A.
Drosophila,12463349,D.
Gryllus,12487359,G.
Schistosoma,12541068,S.
Drosophila,12555781,D.
Poecilia,12555788,P.
Mollienesia,12555788,M.
Drosophila,12583583,D.
Morone,12586484,M.
Drosophila,12586709,D.
Protopolystoma,12633651,P.
Xenopus,12633651,X.
Trichinella,12633658,T.
Drosophila,12645818,D.
Drosophila,12645819,D.
Drosophila,12659009,D.
Lepus,12679072,L.
Hyalomma,12679078,H.
Bactrocera,12714981,B.
Drosophila,12733664,D.
Schistosoma,12741512,S.
Acraea,12750316,A.
Drosophila,12752761,D.
Papilio,12755875,P.
Schistosoma,12760671,S.
Biomphalaria,12760671,B.
Drosophila,12773816,D.
Hyla,12778558,H.
Aotus,12790410,A.
Drosophila,12796457,D.
Drosophila,12802326,D.
Ainohelix,12803638,A.
Triturus,12803641,T.
Drosophila,12815450,D.
Phratora,12823861,P.
Mytilus,12836823,M.
Bombina,12886280,B.
Anura,12886280,A.
Rhopalosiphum,12894937,R.
Poecilia,12894946,P.
Schistosoma,12895279,S.
Schistosoma,12895287,S.
Kumba,12895287,K.
Drosophila,12897869,D.
Ctenomys,12903742,C.
Drosophila,12930747,D.
Drosophila,12930748,D.
Drosophila,12939619,D.
Solenopsis,12940361,S.
Heliocidaris,12950627,H.
Pseudoboletia,12950627,P.
Holopneustes,12950627,H.
Schistosoma,12964826,S.
Bulinus,12964826,B.
Morone,12969655,M.
Xiphophorus,13679027,X.
Anopheles,14278002,A.
Bombina,14503629,B.
Anura,14503629,A.
Drosophila,14508499,D.
Aotus,14617030,A.
Oryzias,14624037,O.
Drosophila,14628919,D.
Callipepla,14628928,C.
Oncorhynchus,14629366,O.
Uroderma,14629379,U.
Bathymodiolus,14629398,B.
Cyprinodon,14632223,C.
Timarcha,14635898,T.
Salvelinus,14640405,S.
Cobitis,14640419,C.
Bos,14662148,B.
Anopheles,14666125,A.
Drosophila,14686533,D.
Bactrocera,14686607,B.
Anopheles,14744026,A.
Rana,14745102,R.
Drosophila,14745823,D.
Spea,14761062,S.
Geospiza,14761069,G.
Salmo,14962987,S.
Oncorhynchus,14962987,O.
Coregonus,14962987,C.
Nilaparvata,14977136,N.
Marasmia,14977136,M.
Chorthippus,15000654,C.
Ficedula,15009256,F.
Daphnia,15009265,D.
Oreochromis,15010491,O.
Tilapia,15010491,T.
Brachyteles,15010578,B.
Drosophila,15020468,D.
Montastraea,15068349,M.
Anodonta,15078447,A.
Cobitis,15098446,C.
Sabanejewia,15098446,S.
Oreochromis,15123169,O.
Tilapia,15123169,T.
Morone,15123315,M.
Peromyscus,15124229,P.
Mus,15124229,M.
Drosophila,15133193,D.
Alcyonium,15140093,A.
Bellonella,15140093,B.
Pegoscapus,15140104,P.
Drosophila,15154554,D.
Liolaemus,15154559,L.
Squamata,15154559,S.
Drosophila,15184657,D.
Drosophila,15208709,D.
Callipepla,15212391,C.
Simulium,15218904,S.
Mustela,15226002,M.
Cynotilapia,15245419,C.
Metriaclima,15245419,M.
Phoxinus,15266975,P.
Ambystoma,15266977,A.
Cobitis,15277723,C.
Cobitis,15303339,C.
Cobitis,15303340,C.
Cobitis,15303342,C.
Cobitis,15303347,C.
Cobitis,15303348,C.
Chiasmata,15303348,C.
Aphelocoma,15315684,A.
Oncorhynchus,15315688,O.
Squalius,15315691,S.
Geospiza,15341160,G.
Chaitophorus,15354192,C.
Aculops,15354192,A.
Sesamia,15384358,S.
Colias,15454539,C.
Xiphophorus,15454549,X.
Danio,15454549,D.
Drosophila,15486701,D.
Anthocidaris,15514472,A.
Mespilia,15514472,M.
Toxopneustes,15514472,T.
Clypeaster,15514472,C.
Astriclypeus,15514472,A.
Mus,15521462,M.
Podisma,15521646,P.
Bombina,15536484,B.
Anura,15536484,A.
